,Price,Transmission,Power,Engine CC,Fuel_2.0,Male,Female,Unknown,Total,Sale_2
26,93.71425,8,225,2979,0,138584,21302,9443,169329,0
27,37.31523077,4.323076923,103.6769231,1873.261538,0,123806,29728,9574,163108,0
28,78.07322727,7.672727273,192.4,2598.818182,0,125070,24029,9465,158564,0
29,32.06304348,5.956521739,89.34782609,1472.826087,1,85989,62467,8346,156802,0
30,19.93814035,5.649122807,76.31578947,1205.192982,0,74717,73895,6282,154894,0
31,107.4521429,8,182.5714286,2425.428571,1,112207,29981,6388,148576,0
32,107.6705126,8.277310924,196.3361345,2521.092437,1,107520,34079,6847,148446,0
33,34.93603125,5.25,97.71875,1820.65625,1,79290,56539,8830,144659,0
34,30.65053846,6.346153846,95,1136.692308,0,110428,25662,6147,142237,0
35,26.29166667,5.6,74.73333333,1186.333333,1,30349,102113,8177,140639,0
36,31.1045119,4.547619048,93.01190476,1699.119048,0,55510,68928,9727,134165,0
37,22.78208333,4.916666667,81.66666667,1847.666667,0,78034,44706,7892,130632,0
38,29.26025,5.95,90.625,1462.3625,0,79604,42130,5547,127281,0
39,24.09525,6.25,68.75,1498.25,0,29548,87974,7427,124949,0
40,43.54851613,1.35483871,137.7741935,2261.193548,0,59395,54005,8166,121566,0
41,49.28583333,6,145,1963.666667,0,84741,27948,6616,119305,0
42,11.14333333,5,50,998,0,32821,73891,5917,112629,0
43,15.20916667,5,53,998,0,33395,66147,7814,107356,0
44,16.011,5,51.77777778,998,0,39242,63346,4208,106796,0
45,82.06090909,7.727272727,199.7272727,2790.454545,1,85861,15146,5507,106514,0
46,16.59192308,5,52.84615385,998,0,36803,64725,3857,105385,0
47,19.31857143,5,66.42857143,1348.285714,1,54195,41756,5908,101859,0
48,32.93965169,6.348314607,114.8202247,1615.370787,0,65505,30221,3778,99504,0
49,65.56875,8,167.25,1998,0,79176,13946,3968,97090,0
50,19.37890909,4.863636364,61.27272727,1470.909091,0,51517,41027,4395,96939,0
51,39.39984314,5.784313725,117.7058824,2151.647059,0,74157,15889,5274,95320,0
52,37.46857143,5.857142857,103.4285714,1718.571429,0,47900,39519,5986,93405,0
53,42.66935185,5.907407407,118.1851852,2095.185185,0,71632,17216,4536,93384,0
54,13.48615385,5,52.38461538,1028.923077,0,30691,57228,4503,92422,0
55,19.08518182,3.727272727,68.90909091,1180.545455,0,34918,49829,6070,90817,0
56,53.78571429,6,124.8571429,1855,1,60515,24893,5151,90559,0
57,32.33086957,5.891304348,103.1086957,1482.5,0,50045,36010,4024,90079,0
58,30.99513158,5.789473684,101.8947368,1905.631579,0,52309,32724,4647,89680,0
59,64.59222222,6.777777778,178.5555556,2011.555556,0,45707,37950,5714,89371,0
60,34.02059211,5.552631579,99,1920.026316,1,66613,16346,3850,86809,0
61,21.6,6,64.625,1496,0,29852,51314,5032,86198,0
62,10.42388889,5,52.44444444,1095.777778,0,34789,42772,4671,82232,0
63,26.97346154,3.076923077,85.69230769,1515.282051,0,47251,30032,4747,82030,0
64,18.64264,4.84,67,1698.64,0,50801,26596,3897,81294,0
65,12.35588235,4.647058824,53.88235294,1366.294118,0,41148,35920,3722,80790,0
66,50.96109091,6.181818182,135.2909091,1971.163636,1,59903,14323,4431,78657,0
67,12.32981818,4.818181818,53.81818182,1367.272727,0,38039,33281,3354,74674,0
68,32.98557692,6.230769231,94.03846154,1528.807692,1,41330,24181,4531,70042,0
69,33.25025,6.166666667,112.75,1475,0,16475,48750,4776,70001,0
70,22.95871429,6.285714286,80,998,0,36610,28881,2239,67730,0
