,Price,Transmission,Power,Engine CC,Fuel_2.0,Class
0,30.61932203,5.966101695,94.03389831,1497.169492,0,Trending
1,18.53214286,5.714285714,68.57142857,1166.142857,0,Trending
2,31.24215385,6.164835165,89.46153846,1537.406593,0,Trending
3,22.1,5.615384615,75.57692308,1219.653846,0,Trending
4,47.84837037,6.444444444,126.1111111,1995.777778,0,Trending
5,18.1925,5.074074074,60.96296296,1408.055556,0,Trending
6,20.03375,4.833333333,71.33333333,1631.5,0,Trending
7,39.97375,1.75,130.25,1998.5,0,Trending
8,20.3776087,4.869565217,67.95652174,1279.695652,0,Trending
9,29.942625,4.5,106.225,1480.575,0,Trending
10,15.46,5,60.8,1196,0,Trending
11,26.4498867,5.408866995,87.31034483,1623.793103,0,Trending
12,20.7206,3.52,74.4,1397.8,0,Trending
13,46.5274,7.04,131.6,1596.92,0,Trending
14,57.92693548,6.161290323,149.7096774,2283.112903,0,Trending
15,46.06451282,6.487179487,125.4358974,1835.846154,0,Trending
16,26.3525,0,80,1498,0,Trending
17,36.21929825,6.473684211,94.33333333,1424.666667,0,Trending
18,27.46483636,4.872727273,86.45454545,1723,0,Trending
19,21.70216667,4.9,79.76666667,1536,0,Trending
20,22.36209302,4.88372093,72.58139535,1743.44186,0,Trending
21,19.00794118,5.205882353,66.97058824,1292.352941,0,Trending
22,37.4265,6.2,104.2,1796.6,0,Trending
23,43.86363077,5.292307692,105.1692308,2083.523077,1,Trending
24,22.90364865,5.405405405,75.64864865,1364,0,Trending
25,27.23911864,3.033898305,91.61016949,1677.949153,0,Trending
26,93.71425,8,225,2979,0,Trending
27,37.31523077,4.323076923,103.6769231,1873.261538,0,Trending
28,78.07322727,7.672727273,192.4,2598.818182,0,Trending
29,32.06304348,5.956521739,89.34782609,1472.826087,1,Trending
30,19.93814035,5.649122807,76.31578947,1205.192982,0,Trending
31,107.4521429,8,182.5714286,2425.428571,1,Trending
32,107.6705126,8.277310924,196.3361345,2521.092437,1,Trending
33,34.93603125,5.25,97.71875,1820.65625,1,Trending
34,30.65053846,6.346153846,95,1136.692308,0,Trending
35,26.29166667,5.6,74.73333333,1186.333333,1,Trending
36,31.1045119,4.547619048,93.01190476,1699.119048,0,Trending
37,22.78208333,4.916666667,81.66666667,1847.666667,0,Trending
38,29.26025,5.95,90.625,1462.3625,0,Trending
39,24.09525,6.25,68.75,1498.25,0,Trending
40,43.54851613,1.35483871,137.7741935,2261.193548,0,Trending
41,49.28583333,6,145,1963.666667,0,Trending
42,11.14333333,5,50,998,0,Trending
43,15.20916667,5,53,998,0,Trending
44,16.011,5,51.77777778,998,0,Trending
45,82.06090909,7.727272727,199.7272727,2790.454545,1,Trending
46,16.59192308,5,52.84615385,998,0,Trending
47,19.31857143,5,66.42857143,1348.285714,1,Trending
48,32.93965169,6.348314607,114.8202247,1615.370787,0,Trending
49,65.56875,8,167.25,1998,0,Trending
50,19.37890909,4.863636364,61.27272727,1470.909091,0,Trending
51,39.39984314,5.784313725,117.7058824,2151.647059,0,Trending
52,37.46857143,5.857142857,103.4285714,1718.571429,0,Trending
53,42.66935185,5.907407407,118.1851852,2095.185185,0,Trending
54,13.48615385,5,52.38461538,1028.923077,0,Trending
55,19.08518182,3.727272727,68.90909091,1180.545455,0,Trending
56,53.78571429,6,124.8571429,1855,1,Trending
57,32.33086957,5.891304348,103.1086957,1482.5,0,Trending
58,30.99513158,5.789473684,101.8947368,1905.631579,0,Trending
59,64.59222222,6.777777778,178.5555556,2011.555556,0,Trending
60,34.02059211,5.552631579,99,1920.026316,1,Trending
61,21.6,6,64.625,1496,0,Trending
62,10.42388889,5,52.44444444,1095.777778,0,Trending
63,26.97346154,3.076923077,85.69230769,1515.282051,0,Trending
64,18.64264,4.84,67,1698.64,0,Trending
65,12.35588235,4.647058824,53.88235294,1366.294118,0,Trending
66,50.96109091,6.181818182,135.2909091,1971.163636,1,Trending
67,12.32981818,4.818181818,53.81818182,1367.272727,0,Trending
68,32.98557692,6.230769231,94.03846154,1528.807692,1,Trending
69,33.25025,6.166666667,112.75,1475,0,Trending
70,22.95871429,6.285714286,80,998,0,Trending
71,32.1815,6,99,1448.6,0,Trending
72,113.2693333,8,246.3333333,2994.666667,1,Trending
73,28.23090909,6.454545455,86,999,0,Trending
74,26.803,5.428571429,85.71428571,1310,0,Trending
75,26.97522727,5.863636364,88.09090909,1460.795455,0,Not trending
76,28.60820513,4.756410256,92.82051282,2043.820513,0,Not trending
77,13.63642857,4.714285714,69,1424.857143,0,Not trending
78,47.361875,3.75,113.375,1774.8125,1,Not trending
79,72.79589474,6.210526316,166.3157895,3041,0,Not trending
80,35.28132353,5.176470588,113.3529412,2106.5,0,Not trending
81,39.35238095,5,98.04761905,1928.714286,0,Not trending
82,27.4386,6.34,85.28,1452,1,Not trending
83,9.5628,4.6,50,996,0,Not trending
84,26.51269565,4.02173913,93.58695652,1933.021739,0,Not trending
85,21.847,6.090909091,70.72727273,1052.272727,0,Not trending
86,61.86283333,6.833333333,184.1666667,2748.333333,0,Not trending
87,47.52333333,6,128.8888889,1886.555556,1,Not trending
88,77.41666667,7,188.3333333,2876,1,Not trending
89,43.97,6.6,115.3,1634.2,1,Not trending
90,38.72769231,5.538461538,114.6538462,2178.192308,1,Not trending
91,15.14,5,64,1382.75,0,Not trending
92,28.60918919,5.945945946,100.5945946,1387.621622,0,Not trending
93,78.74625,8,176.25,1997,1,Not trending
94,27.08277108,6.228915663,86.63855422,1377.566265,0,Not trending
95,17.03876744,5.302325581,73.48837209,1374.046512,0,Not trending
96,59.43242424,7,150.4545455,1981.818182,0,Not trending
97,38.7525,0,165,2488,0,Not trending
98,33.798,0,96,1797.4,0,Not trending
99,66.58842105,5.736842105,172.3157895,2934.631579,0,Not trending
100,36.52419118,5.176470588,113.3529412,2106.5,0,Not trending
101,16.20874359,4.461538462,63.56410256,1650.205128,0,Not trending
102,85.82946154,8,213.1538462,1969,0,Not trending
103,34.9090566,5.603773585,104.2264151,1805.924528,1,Not trending
104,35.81481651,6.293577982,117.4311927,1921.46789,0,Not trending
105,76.5922,8,184,2396.4,0,Not trending
106,44.30857143,6.714285714,108,1663.928571,0,Not trending
107,41.38957143,7.285714286,105.7142857,1545.428571,1,Not trending
108,19.9680625,2.8125,55.375,592.5625,0,Not trending
109,25.39952941,4.647058824,78.85294118,1891.588235,0,Not trending
110,23.322,3.75,84.2,1853.9,0,Not trending
111,158.7922667,7.466666667,293.5333333,3005.4,0,Not trending
112,137.5695455,8,223.5454545,2813,0,Not trending
113,30.5976,1.8,97.6,1757.6,0,Not trending
114,52.95719388,5.653061224,146.122449,2031.469388,0,Not trending
115,31.5255,5.166666667,109.6666667,1861.833333,0,Not trending
116,45.6995,6,114,1854.2,1,Not trending
117,44.14181818,6.545454545,144.6363636,2242.636364,1,Not trending
118,22.84857143,6.523809524,73.23809524,1241.857143,0,Not trending
119,52.085,8,223.8333333,1969,0,Not trending
120,23.35964286,5.25,81.28571429,1410.357143,0,Not trending
121,17.82333333,4.666666667,70.33333333,1298.666667,0,Not trending
122,21.02333333,5,92.33333333,1729.333333,0,Not trending
123,39.70773684,4.842105263,117.5789474,2719.842105,1,Not trending
124,36.01325,6,151.6666667,2048.666667,0,Not trending
125,64.109625,6.75,202.125,2778,0,Not trending
126,17.182,5,74,1994,0,Not trending
127,17.065625,5.125,51.375,999,0,Not trending
128,25.94322222,4.777777778,67,1372.666667,0,Not trending
129,9.492272727,4.909090909,40.81818182,850.2727273,0,Not trending
130,83.50125,6.5,213.5,3071,0,Not trending
131,9.8628,5,50,1090.4,0,Not trending
132,40.98307692,7.307692308,114.2692308,1352.576923,0,Not trending
133,17.34364706,4.745098039,70.92156863,1683.607843,0,Not trending
