,Price,Transmission,Power,Engine CC,Fuel_2.0,Male,Female,Unknown,Total,Sale_2
1829,0.03267322977125723,0.7248730964790806,0.10220994475138122,0.11243556701030928,0.0,0.0029280250133588656,0.002484792990908089,0.005914226015511562,0.002933013609003717,1.0
1830,0.03615736589515365,0.49835025382936793,0.21414594843462248,0.3079494201030928,0.0,0.0033104163397303593,0.002215037176910422,0.00254984594680738,0.0029214789258134033,1.0
1831,0.052883356796680964,0.6493654822625098,0.24277739410681398,0.317785518685567,0.0,0.003904364425886601,0.0012120014741585328,0.004533059460990898,0.002868932035724195,1.0
1832,0.06958686223014558,0.6170050761524348,0.23523414894106814,0.37290592783505155,0.0,0.004195379123618673,0.0007586090731671486,0.004267450508198462,0.002817666777100578,1.0
1833,0.020144382492155735,0.5798984771832645,0.09729895642265195,0.26500214771262887,0.0,0.003183283639014642,0.001898422371748841,0.0038424761837305655,0.0027260301273108615,1.0
1834,0.12633683563178794,0.7852791878523373,0.47168508287292815,0.4946842783505154,0.0,0.0037911368643116657,0.0010043021619725355,0.00394871976484754,0.0026696383428248824,1.0
1835,0.04146607784442307,0.386598984788843,0.22989564157458564,0.36172680412371133,0.0,0.0037494214468893204,0.0009954369474280114,0.0047455466232248465,0.0026670750798937016,1.0
1836,0.02622789101295749,0.5772137620379669,0.1536218538904236,0.28604667815721646,0.0,0.0027730820343615853,0.0022302346875581777,0.00456847398802989,0.0026555403967033872,1.0
1837,0.044165243734850895,0.5839255499012108,0.23956414986187846,0.34085051546391754,0.0,0.0035468037051236464,0.0011879387489662527,0.0037539398661330875,0.0025978669807518178,1.0
1838,0.024116187067135433,0.4925419758220019,0.16454171979742177,0.3747356594716495,0.0,0.003981835915385242,0.0007003519490174177,0.0022842369940149444,0.0025786425087679613,1.0
1839,0.05219479752602627,0.5436548223593105,0.2544778114640884,0.37757731958762886,0.0,0.003692807666101853,0.0008941202097763054,0.0040018415554060275,0.002552369063723357,1.0
